BRMALA,LA,LANAME,BRMA,BRMANAME
138,00QA,Aberdeen City,81031,ABDN&SHIRE
139,00QB,Aberdeenshire,81011,HLNDISLES
139,00QB,Aberdeenshire,81031,ABDN&SHIRE
139,00QB,Aberdeenshire,81071,DDEEANGUS
392,45UB,Adur,82,Brighton and Hove                       
392,45UB,Adur,165,Worthing                                
195,16UB,Allerdale,70,West Cumbria                            
195,16UB,Allerdale,71,North Cumbria                           
201,17UB,Amber Valley,122,Derby                                   
201,17UB,Amber Valley,123,Peaks & Dales                           
201,17UB,Amber Valley,138,Nottingham                              
140,00QC,Angus,81031,ABDN&SHIRE
140,00QC,Angus,81071,DDEEANGUS
141,00QD,Argyll & Bute,82033,ARGYLL & BUTE
393,45UC,Arun,165,Worthing                                
393,45UC,Arun,166,Chichester                              
339,37UB,Ashfield,122,Derby                                   
339,37UB,Ashfield,126,North Nottingham                        
339,37UB,Ashfield,138,Nottingham                              
274,29UB,Ashford,15,Canterbury                              
274,29UB,Ashford,83,High Weald                              
274,29UB,Ashford,86,Ashford                                 
173,11UB,Aylesbury Vale,105,Milton Keynes                           
173,11UB,Aylesbury Vale,106,Luton                                   
173,11UB,Aylesbury Vale,107,Aylesbury                               
173,11UB,Aylesbury Vale,108,Chilterns                               
173,11UB,Aylesbury Vale,110,Cherwell Valley                         
369,42UB,Babergh,7,Ipswich                                 
369,42UB,Babergh,8,Colchester                              
369,42UB,Babergh,92,Bury St Edmunds                         
2,00AB,Barking and Dagenham,149,Outer North East London                 
3,00AC,Barnet,147,North West London                       
3,00AC,Barnet,150,Outer North London                      
3,00AC,Barnet,161,Inner North London                      
49,00CC,Barnsley,2,Sheffield                               
49,00CC,Barnsley,116,Doncaster                               
49,00CC,Barnsley,120,Kirklees                                
49,00CC,Barnsley,121,Barnsley                                
196,16UC,Barrow-in-Furness,154,Barrow-in-Furness                       
235,22UB,Basildon,90,South West Essex                        
253,24UB,Basingstoke and Deane,31,Reading                                 
253,24UB,Basingstoke and Deane,32,Newbury                                 
253,24UB,Basingstoke and Deane,40,Winchester                              
253,24UB,Basingstoke and Deane,41,Basingstoke                             
340,37UC,Bassetlaw,116,Doncaster                               
340,37UC,Bassetlaw,126,North Nottingham                        
340,37UC,Bassetlaw,130,Grantham & Newark                       
91,00HA,Bath and North East Somerset,27,Bath                                    
91,00HA,Bath and North East Somerset,28,Bristol                                 
171,09UD,Bedford,94,Bedford                                 
171,09UD,Bedford,103,Northants Central                       
171,09UD,Bedford,156,Huntingdon                              
4,00AD,Bexley,151,Outer South East London                 
58,00CN,Birmingham,19,Birmingham                              
298,31UB,Blaby,169,Leicester                               
77,00EX,Blackburn with Darwen,25,Bolton and Bury                         
77,00EX,Blackburn with Darwen,56,East Lancs                              
78,00EY,Blackpool,33,Fylde Coast                             
133,00PL,Blaenau Gwent,96600,Blaenau Gwent
202,17UC,Bolsover,124,Chesterfield                            
202,17UC,Bolsover,126,North Nottingham                        
34,00BL,Bolton,22,Wigan                                   
34,00BL,Bolton,25,Bolton and Bury                         
34,00BL,Bolton,57,Central Lancs                           
98,00HP,Poole,38,Bournemouth                             
305,32UB,Boston,133,Lincolnshire Fens                       
97,00HN,Bournemouth,38,Bournemouth                             
105,00MA,Bracknell Forest,31,Reading                                 
105,00MA,Bracknell Forest,80,Blackwater Valley                       
105,00MA,Bracknell Forest,109,East Thames Valley                      
65,00CX,Bradford,114,Leeds                                   
65,00CX,Bradford,129,Bradford & South Dales                  
236,22UC,Braintree,8,Colchester                              
236,22UC,Braintree,91,Chelmsford                              
236,22UC,Braintree,92,Bury St Edmunds                         
236,22UC,Braintree,93,Cambridge                               
312,33UB,Breckland,92,Bury St Edmunds                         
312,33UB,Breckland,100,Kings Lynn                              
312,33UB,Breckland,102,Central Norfolk & Norwich               
5,00AE,Brent,147,North West London                       
5,00AE,Brent,159,Inner West London                       
5,00AE,Brent,161,Inner North London                      
237,22UD,Brentwood,90,South West Essex                        
237,22UD,Brentwood,91,Chelmsford                              
237,22UD,Brentwood,95,Harlow & Stortford                      
237,22UD,Brentwood,149,Outer North East London                 
128,00PB,Bridgend,96200,Bridgend
112,00ML,Brighton and Hove,82,Brighton and Hove                       
92,00HB,Bristol,28,Bristol                                 
313,33UC,Broadland,102,Central Norfolk & Norwich               
6,00AF,Bromley,144,Inner South East London                 
6,00AF,Bromley,151,Outer South East London                 
403,47UB,Bromsgrove,18,Black Country                           
403,47UB,Bromsgrove,19,Birmingham                              
403,47UB,Bromsgrove,20,Solihull                                
403,47UB,Bromsgrove,45,Worcester North                         
264,26UB,Broxbourne,97,South East Herts                        
341,37UD,Broxtowe,138,Nottingham                              
286,30UD,Burnley,34,West Pennine                            
286,30UD,Burnley,56,East Lancs                              
35,00BM,Bury,25,Bolton and Bury                         
35,00BM,Bury,61,Central Greater Manchester              
132,00PK,Caerphilly,96500,Caerphilly
66,00CY,Calderdale,119,Halifax                                 
66,00CY,Calderdale,120,Kirklees                                
66,00CY,Calderdale,129,Bradford & South Dales                  
177,12UB,Cambridge,93,Cambridge                               
7,00AG,Camden,146,Central London                          
7,00AG,Camden,161,Inner North London                      
361,41UB,Cannock Chase,50,Mid Staffs                              
275,29UC,Canterbury,15,Canterbury                              
275,29UC,Canterbury,85,Dover-Shepway                           
137,00PT,Cardiff,97000,Cardiff
197,16UD,Carlisle,64,Tyneside                                
197,16UD,Carlisle,71,North Cumbria                           
125,00NU,Carmarthenshire,95900,Carmarthenshire
238,22UE,Castle Point,74,Southend                                
170,09UC,Mid Bedfordshire,94,Bedford                                 
170,09UC,Mid Bedfordshire,96,Stevenage & North Herts                 
170,09UC,Mid Bedfordshire,105,Milton Keynes                           
170,09UC,Mid Bedfordshire,106,Luton                                   
172,09UE,South Bedfordshire,105,Milton Keynes                           
172,09UE,South Bedfordshire,106,Luton                                   
123,00NQ,Ceredigion,95600,Ceredigion
299,31UC,Charnwood,169,Leicester                               
239,22UF,Chelmsford,90,South West Essex                        
239,22UF,Chelmsford,91,Chelmsford                              
247,23UB,Cheltenham,30,Cheltenham                              
346,38UB,Cherwell,110,Cherwell Valley                         
346,38UB,Cherwell,111,Oxford                                  
183,13UC,Congleton,24,South Cheshire                          
183,13UC,Congleton,51,Staffordshire North                     
184,13UD,Crewe and Nantwich,24,South Cheshire                          
186,13UG,Macclesfield,16,West Cheshire                           
186,13UG,Macclesfield,24,South Cheshire                          
186,13UG,Macclesfield,58,East Cheshire                           
186,13UG,Macclesfield,59,Southern Greater Manchester             
185,13UE,Ellesmere Port and Neston,16,West Cheshire                           
185,13UE,Ellesmere Port and Neston,17,Wirral                                  
182,13UB,Chester,16,West Cheshire                           
187,13UH,Vale Royal,16,West Cheshire                           
187,13UH,Vale Royal,24,South Cheshire                          
187,13UH,Vale Royal,58,East Cheshire                           
187,13UH,Vale Royal,73,North Cheshire                          
203,17UD,Chesterfield,124,Chesterfield                            
394,45UD,Chichester,75,Portsmouth                              
394,45UD,Chichester,79,Guildford                               
394,45UD,Chichester,166,Chichester                              
174,11UC,Chiltern,98,South West Herts                        
174,11UC,Chiltern,108,Chilterns                               
287,30UE,Chorley,25,Bolton and Bury                         
287,30UE,Chorley,57,Central Lancs                           
217,19UC,Christchurch,38,Bournemouth                             
151,00QP,"Edinburgh, City of",80020,LOTHIANS
1,00AA,City of London,146,Central London                          
33,00BK,"Westminster, City of",146,Central London                          
33,00BK,"Westminster, City of",161,Inner North London                      
143,00QF,Clackmannanshire,81010,FIFE
143,00QF,Clackmannanshire,82130,FORTH VALLEY
240,22UG,Colchester,8,Colchester                              
118,00NE,Conwy,95100,North Clwyd
198,16UE,Copeland,70,West Cumbria                            
