,BRMAno,BRMAname,nRents,minRent,maxRent,LHArate
1,1,Isle of Wight,73,49.82,115,68.5
2,2,Sheffield,429,40.27,99,64.41
3,3,Kernow West,273,45,100.11,67.09
4,4,Plymouth,1047,37.5,124.15,71.21
5,5,NA,NA,NA,NA,NA
6,6,Weston-S-Mare,39,49.82,106.5,66.85
7,7,Ipswich,39,53.18,98.5,57.34
8,8,Colchester,124,45.07,117.62,64.78
9,9,North Devon,78,48.33,92.05,63.25
10,10,Taunton & West Somerset,137,37.47,121.5,64.14
11,11,Mid & East Devon,33,60,75,66.7
12,12,NA,NA,NA,NA,NA
13,13,Mendip,168,45,158.79,69.08
14,14,Thanet,124,49.98,113.5,63.27
15,15,Canterbury,127,62.48,115.07,74.62
16,16,West Cheshire,483,44.5,92.4,64.48
17,17,Wirral,105,45.38,122.5,60.99
18,18,Black Country,252,16.15,107.36,60
19,19,Birmingham,400,28.5,150,57.34
20,20,Solihull,607,56.73,124.62,71.12
21,21,Southport,154,40,100.25,69.33
22,22,Wigan,150,46.5,77.1,57.57
23,23,Greater Liverpool,1202,40,92.25,57.77
24,24,South Cheshire,246,41.5,100,54.6
25,25,Bolton and Bury,205,43.5,73.5,50.13
26,26,West Wiltshire,210,54.05,158.79,67.37
27,27,Bath,139,68.16,158.79,72.49
28,28,Bristol,524,41.5,126.58,67.37
29,29,Warwickshire South,579,62.48,124.62,71.86
30,30,Cheltenham,151,53.28,115.07,68.35
31,31,Reading,386,56.38,178.36,78.78
32,32,Newbury,140,42.54,126.58,73.67
33,33,Fylde Coast,122,50,82.5,61.5
34,34,West Pennine,71,61.5,78,62.4
35,35,Yeovil,208,36.5,126.5,61.45
36,36,NA,NA,NA,NA,NA
37,37,NA,NA,NA,NA,NA
38,38,Bournemouth,408,31.5,157.5,65.48
39,39,Southampton,93,54.08,141.88,67.5
40,40,Winchester,37,66.5,136.5,75.19
41,41,Basingstoke,155,44.5,124.62,68.17
42,42,Salisbury,111,42.54,116.56,67.84
43,43,Swindon,164,46.37,108.51,61.84
44,44,Herefordshire,76,51.5,82.04,56.5
45,45,Worcester North,57,50,160,61.45
46,46,Worcester South,154,53.5,102.6,70.32
47,47,NA,NA,NA,NA,NA
48,48,Gloucester,202,44.07,90.1,68.18
49,49,Eastern Staffordshire,42,44.5,90.1,60.04
50,50,Mid Staffs,190,33.62,113.11,66.7
51,51,Staffordshire North,286,42,106.21,52.02
52,52,Coventry,681,37.63,110.71,65.65
53,53,Rugby & East,72,41.77,111.86,62.12
54,54,NA,NA,NA,NA,NA
55,55,NA,NA,NA,NA,NA
56,56,East Lancs,243,43.5,88.56,53.5
57,57,Central Lancs,260,38,91.29,53.67
58,58,East Cheshire,35,54.43,96.5,70.9
59,59,Southern Greater Manchester,590,46.15,150,59.58
60,60,NA,NA,NA,NA,NA
61,61,Central Greater Manchester,569,46.15,150,67.2
62,62,St Helens,1229,36.5,92.25,59.84
63,63,Northumberland,41,56.5,86.5,65.65
64,64,Tyneside,146,38,90.1,60
65,65,Sunderland,66,38.2,63,46.35
66,66,Durham,72,41.5,90.1,65
67,67,Darlington,75,40.75,72,59.28
68,68,Richmond & Hambleton,49,51.5,109.18,68.35
69,69,Teesside,248,35.25,78.5,57.34
70,70,West Cumbria,41,54.04,99.25,63.25
71,71,North Cumbria,285,39.47,107.5,58.9
72,72,NA,NA,NA,NA,NA
73,73,North Cheshire,274,36.5,106.5,48.87
74,74,Southend,110,34.56,136.13,68.78
75,75,Portsmouth,616,42.65,111.5,69.04
76,76,NA,NA,NA,NA,NA
